Round,Player A,Player B,Winner,Participant A score,Participant B score
1° turno,A. Kovacevic,Sakamoto R. [WC],,,
1° turno,bye,D. Medvedev [9],D. Medvedev [9],,
1° turno,A. Davidovich Fokina [16],bye,A. Davidovich Fokina [16],,
1° turno,Q. Halys,L. Draxl [Q],Q. Halys,2,1
1° turno,K. Majchrzak,M. Kecmanovic,K. Majchrzak,2,1
1° turno,bye,L. Tien [20],L. Tien [20],,
1° turno,B. Nakashima [27],bye,B. Nakashima [27],,
1° turno,M. Cilic,A. Popyrin,M. Cilic,2,0
1° turno,M. Damm [WC],J. Fearnley,M. Damm [WC],1,(rit.) 0
1° turno,bye,A. Zverev [3],A. Zverev [3],,
1° turno,F. Auger-Aliassime [7],bye,F. Auger-Aliassime [7],,
1° turno,C. O'Connell [Q],M. Fucsovics,,,
1° turno,T. Atmane,D. Altmaier,,,
1° turno,bye,A. Rinderknech [26],A. Rinderknech [26],,
1° turno,F. Tiafoe [19],bye,F. Tiafoe [19],,
1° turno,A. Cazaux,T. Barrios Vera [Q],,,
1° turno,A. Walton [Q],S. Baez,,,
1° turno,bye,J. Mensik [12],J. Mensik [12],,
1° turno,A. Rublev [15],bye,A. Rublev [15],,
1° turno,A. Tabilo,F. Comesana,A. Tabilo,2,0
1° turno,A. Michelsen,M. Bellucci [Q],A. Michelsen,2,0
1° turno,bye,C. Norrie [23],C. Norrie [23],,
1° turno,C. Moutet [30],bye,C. Moutet [30],,
1° turno,E. Nava,T. Machac,T. Machac,1,2
1° turno,I. Buse [Q],D. Dzumhur,D. Dzumhur,1,2
1° turno,bye,J. Sinner [2],J. Sinner [2],,
2° turno,C. Alcaraz [1],J. Fonseca,,,
2° turno,C. Ugo Carabelli,S. Korda [32],,,
2° turno,L. Darderi [17],M. Landaluce [Q],,,
2° turno,R. Bautista Agut,K. Khachanov [14],,,
2° turno,C. Ruud [11],E. Quinn,,,
2° turno,M. Kouame [WC],J. Lehecka [21],,,
2° turno,J. Draper [25],R. Opelka,,,
2° turno,B. van de Zandschulp,T. Fritz [6],,,
2° turno,A. Vukic [LL],R. Jodar [Q],,,
2° turno,Z. Bergs,T. Etcheverry [29],,,
2° turno,T. Paul [22],A. Mannarino,,,
2° turno,R. Collignon,F. Cobolli [13],,,
2° turno,A. Bublik [10],M. Berrettini,,,
2° turno,M. Navone,V. Vacherot [24],,,
2° turno,A. Fils [28],D. Blanch [WC],,,
2° turno,S. Tsitsipas,A. de Minaur [5],,,
2° turno,B. Shelton [8],,,,
2° turno,,U. Humbert [31],,,
2° turno,F. Cerundolo [18],,,,
2° turno,,D. Medvedev [9],,,
2° turno,A. Davidovich Fokina [16],Q. Halys,,,
2° turno,K. Majchrzak,L. Tien [20],,,
2° turno,B. Nakashima [27],M. Cilic,,,
2° turno,M. Damm [WC],A. Zverev [3],,,
2° turno,F. Auger-Aliassime [7],,,,
2° turno,,A. Rinderknech [26],,,
2° turno,F. Tiafoe [19],,,,
2° turno,,J. Mensik [12],,,
2° turno,A. Rublev [15],A. Tabilo,,,
2° turno,A. Michelsen,C. Norrie [23],,,
2° turno,C. Moutet [30],T. Machac,,,
2° turno,D. Dzumhur,J. Sinner [2],,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
3° turno,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Ottavi di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Quarti di finale,,,,,
Semifinali,,,,,
Semifinali,,,,,
Finale,,,,,
